Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,# Peptides (by Search Engine): Mascot,# Razor Peptides,Abundances_WT-1,Abundances_WT-2,Abundances_RM1-1,Abundances_RM1-2,Abundances_RM2-1,Abundances_RM2-3,"Found in Sample: [S1] F1: WT-1, Sample","Found in Sample: [S6] F1: RM2-3, Sample","Found in Sample: [S3] F1: RM1-1, Sample","Found in Sample: [S4] F1: RM1-2, Sample","Found in Sample: [S5] F1: RM2-1, Sample","Found in Sample: [S2] F1: WT-2, Sample",# Protein Groups,Modifications,gene.names,locus_tag,protein
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16807.1_733,[gene=carB] [locus_tag=N6Q85_03840] [protein=carbamoyl-phosphate synthase large subunit] [protein_id=UXK16807.1] [location=complement(808989..812219)] [gbkey=CDS],0,566.032,57,67,222,67,1076,118.3,5.12,3595,67,0,218415082.1,138821884.9,159633996.5,183277789,285233484.2,224231354.3,High,High,High,High,High,High,1,,carB,N6Q85_03840 ,carbamoyl-phosphate synthase large subunit 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16905.1_835,[gene=purL] [locus_tag=N6Q85_04370] [protein=phosphoribosylformylglycinamidine synthase] [protein_id=UXK16905.1] [location=935363..939196] [gbkey=CDS],0,536.598,60,58,140,58,1277,139.3,5.26,2552,58,0,136133611.5,86492636.13,104172511.2,112535820,153038583.5,141841377.3,High,High,High,High,High,High,1,,purL,N6Q85_04370 ,phosphoribosylformylglycinamidine synthase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15675.1_3230,[gene=tig] [locus_tag=N6Q85_16520] [protein=trigger factor] [protein_id=UXK15675.1] [location=complement(3440222..3441556)] [gbkey=CDS],0,530.551,81,36,226,36,444,49.6,4.92,4820,36,0,641288487.7,378300950.2,487688640.6,486611613.6,724126922.5,565082466.4,High,High,High,High,High,High,1,,tig,N6Q85_16520 ,trigger factor 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15842.1_3406,[gene=htpG] [locus_tag=N6Q85_17425] [protein=molecular chaperone HtpG] [protein_id=UXK15842.1] [location=complement(3633079..3634998)] [gbkey=CDS],0,530.384,73,41,175,41,639,71.7,5.03,3651,41,0,228029179.4,113988829.2,139159325.1,150443093.7,147437767.7,168532895.4,High,High,High,High,High,High,1,,htpG,N6Q85_17425 ,molecular chaperone HtpG 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK14481.1_1967,[gene=rpsA] [locus_tag=N6Q85_10085] [protein=30S ribosomal protein S1] [protein_id=UXK14481.1] [location=complement(2132683..2134356)] [gbkey=CDS],0,525.479,75,46,525,46,557,61.1,5.1,9154,46,0,1135860582,705519223.6,873613890.4,878752275.6,1336252808,1118918730,High,High,High,High,High,High,1,,rpsA,N6Q85_10085 ,30S ribosomal protein S1 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK14526.1_2012,[gene=putA] [locus_tag=N6Q85_10310] [protein=trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase] [protein_id=UXK14526.1] [location=2174118..2177870] [gbkey=CDS],0,514.823,50,53,148,53,1250,138.2,6.07,3447,53,0,68991412.97,61664609.02,41341564.7,78681257.51,126982523.9,129329305.2,High,High,High,High,High,High,1,,putA,N6Q85_10310 ,trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK17087.1_1026,[locus_tag=N6Q85_05335] [protein=extended-spectrum class C beta-lactamase ADC-30] [protein_id=UXK17087.1] [location=complement(1149113..1150264)] [gbkey=CDS],0,511.851,77,34,228,34,383,43.1,9.41,3903,34,0,1001545474,672856394.5,630332800.2,793798961.9,816684884.3,1080570870,High,High,High,High,High,High,1,,_05335 ,N6Q85_05335 ,extended-spectrum class C beta-lactamase ADC-30 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16647.1_560,[gene=secA] [locus_tag=N6Q85_02940] [protein=preprotein translocase subunit SecA] [protein_id=UXK16647.1] [location=602185..604908] [gbkey=CDS],0,485.894,61,49,186,49,907,102.4,5.36,3125,49,0,137701374.7,93489952.67,100348851.3,112832696.4,118750185.3,143670446.6,High,High,High,High,High,High,1,,secA ,N6Q85_02940 ,preprotein translocase subunit SecA 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15469.1_3005,[locus_tag=N6Q85_15350] [protein=ribonucleoside-diphosphate reductase subunit alpha] [protein_id=UXK15469.1] [location=3183984..3186818] [gbkey=CDS],0,480.22,56,43,174,43,944,105.2,5.67,3114,43,0,257927904.7,179286466.5,177331866.6,188812058.3,251767781.2,242742178.8,High,High,High,High,High,High,1,,_15350 ,N6Q85_15350 ,ribonucleoside-diphosphate reductase subunit alpha 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK17124.1_1065,[gene=tsf] [locus_tag=N6Q85_05545] [protein=translation elongation factor Ts] [protein_id=UXK17124.1] [location=1202708..1203583] [gbkey=CDS],0,466.642,85,27,320,27,291,30.7,5.36,5796,27,0,962564764,535970058.4,715720714.7,744399542.9,1028416642,888146459.9,High,High,High,High,High,High,1,,tsf ,N6Q85_05545 ,translation elongation factor Ts 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15357.1_2890,[gene=tuf] [locus_tag=N6Q85_14740] [protein=elongation factor Tu] [protein_id=UXK15357.1] [location=complement(3060706..3061896)] [gbkey=CDS],0,460.172,86,26,590,26,396,42.9,5.36,9332,26,0,2887149103,1751851067,2149326393,2260141284,3116848207,2922484625,High,High,High,High,High,High,1,,tuf ,N6Q85_14740 ,elongation factor Tu 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16790.1_712,[gene=sdhA] [locus_tag=N6Q85_03735] [protein=succinate dehydrogenase flavoprotein subunit] [protein_id=UXK16790.1] [location=768037..769872] [gbkey=CDS],0,457.489,65,35,190,35,611,67,6.38,3809,35,0,293650157.1,177150014.8,206565676.3,240611068.9,328803135.4,292892592.9,High,High,High,High,High,High,1,,sdhA ,N6Q85_03735 ,succinate dehydrogenase flavoprotein subunit 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15748.1_3307,[locus_tag=N6Q85_16905] [protein=Rne/Rng family ribonuclease] [protein_id=UXK15748.1] [location=3518778..3522110] [gbkey=CDS],0,456.277,57,53,188,53,1110,123.6,6.38,3004,53,0,94100412.23,60653415.18,68368018.28,83331845.33,98487668.19,105654198.8,High,High,High,High,High,High,1,,_16905 ,N6Q85_16905 ,Rne/Rng family ribonuclease 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15111.1_2631,[gene=lon] [locus_tag=N6Q85_13440] [protein=endopeptidase La] [protein_id=UXK15111.1] [location=2797446..2799875] [gbkey=CDS],0,454.511,59,48,170,48,809,90.1,5.86,2937,48,0,112271240,66963524.85,86346669.07,94004466.31,95097559.84,124643327.3,High,High,High,High,High,High,1,,lon ,N6Q85_13440 ,endopeptidase La 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16756.1_676,[locus_tag=N6Q85_03555] [protein=valine--tRNA ligase] [protein_id=UXK16756.1] [location=complement(731156..734035)] [gbkey=CDS],0,446.845,58,50,127,50,959,108.6,5.52,2234,50,0,149586931.6,93161762.79,117490043.8,121244890.6,160552729.3,150481086.6,High,High,High,High,High,High,1,,_03555 ,N6Q85_03555 ,valine--tRNA ligase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15616.1_3168,[gene=leuS] [locus_tag=N6Q85_16210] [protein=leucine--tRNA ligase] [protein_id=UXK15616.1] [location=3373548..3376172] [gbkey=CDS],0,441.414,52,41,119,41,874,98,5.2,2226,41,0,98892469.33,64592950.91,76133923.72,80740735.37,94966022.92,107212186.9,High,High,High,High,High,High,1,,leuS ,N6Q85_16210 ,leucine--tRNA ligase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16132.1_27,[gene=ppc] [locus_tag=N6Q85_00160] [protein=phosphoenolpyruvate carboxylase] [protein_id=UXK16132.1] [location=complement(36955..39639)] [gbkey=CDS],0,434.511,59,42,125,42,894,102.1,6.19,2412,42,0,79045747.45,58360812.79,54494648.03,65214008.01,58968809.2,96673099.57,High,High,High,High,High,High,1,,ppc ,N6Q85_00160 ,phosphoenolpyruvate carboxylase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK14906.1_2410,[gene=clpB] [locus_tag=N6Q85_12315] [protein=ATP-dependent chaperone ClpB] [protein_id=UXK14906.1] [location=complement(2595227..2597806)] [gbkey=CDS],0,430.045,69,55,146,55,859,95.1,5.34,2226,55,0,191531100.5,121958555.8,99742833.14,128491504.2,118625399.3,125529285.4,High,High,High,High,High,High,1,,clpB ,N6Q85_12315 ,ATP-dependent chaperone ClpB 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16070.1_3653,[gene=ileS] [locus_tag=N6Q85_18720] [protein=isoleucine--tRNA ligase] [protein_id=UXK16070.1] [location=3894026..3896863] [gbkey=CDS],0,426.245,60,46,126,46,945,106.3,6.1,2683,46,0,157836541.9,96495904.33,114089500.9,118300396.2,163530064.3,159451721.4,High,High,High,High,High,High,1,,ileS ,N6Q85_18720 ,isoleucine--tRNA ligase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16824.1_750,[locus_tag=N6Q85_03940] [protein=phosphoenolpyruvate carboxykinase (GTP)] [protein_id=UXK16824.1] [location=complement(829659..831491)] [gbkey=CDS],0,424.325,76,36,160,36,610,67.4,5.3,3288,36,0,212890495.1,134176493.4,155829538.8,150389462.4,218940900.4,196085199,High,High,High,High,High,High,1,,_03940 ,N6Q85_03940 ,phosphoenolpyruvate carboxykinase (GTP) 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16449.1_353,[gene=glyS] [locus_tag=N6Q85_01830] [protein=glycine--tRNA ligase subunit beta] [protein_id=UXK16449.1] [location=complement(387445..389514)] [gbkey=CDS],0,416.068,69,40,109,40,689,75,5.27,2131,40,0,102471785.6,67785872.31,74346650.59,84496399.29,106904138.4,106288657.2,High,High,High,High,High,High,1,,glyS,N6Q85_01830 ,glycine--tRNA ligase subunit beta 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15807.1_3369,[gene=nusA] [locus_tag=N6Q85_17225] [protein=transcription termination factor NusA] [protein_id=UXK15807.1] [location=complement(3594964..3596448)] [gbkey=CDS],0,410.275,73,30,157,30,494,55,4.61,3826,30,0,287999639.6,165027098.8,200009466.8,232921683.9,329215204.9,279637888.4,High,High,High,High,High,High,1,,nusA,N6Q85_17225 ,transcription termination factor NusA 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK17897.1_2423,[gene=alaS] [locus_tag=N6Q85_12380] [protein=alanine--tRNA ligase] [protein_id=UXK17897.1] [location=2608912..2611548] [gbkey=CDS],0,407.854,58,48,143,48,878,96.5,5.49,2380,48,0,128192915,79389071.66,97181464.02,108807220.2,148361129.2,130268393.2,High,High,High,High,High,High,1,,alaS,N6Q85_12380 ,alanine--tRNA ligase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK17109.1_1050,[locus_tag=N6Q85_05470] [protein=NADP-dependent malic enzyme] [protein_id=UXK17109.1] [location=complement(1180937..1183207)] [gbkey=CDS],0,399.369,60,35,175,35,756,82.8,5.74,3221,35,0,91551331.86,56366950.28,68869884.12,70273228.74,98457409.19,98644949.32,High,High,High,High,High,High,1,,_05470 ,N6Q85_05470 ,NADP-dependent malic enzyme 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16257.1_155,[gene=guaB] [locus_tag=N6Q85_00800] [protein=IMP dehydrogenase] [protein_id=UXK16257.1] [location=175094..176560] [gbkey=CDS],0,397.257,80,33,109,33,488,51.4,6.67,2575,33,0,94612287.61,52159094.64,69196458.03,74927735.35,85477134.69,99830658.13,High,High,High,High,High,High,1,,guaB ,N6Q85_00800 ,IMP dehydrogenase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15458.1_2994,[gene=nuoG] [locus_tag=N6Q85_15295] [protein=NADH-quinone oxidoreductase subunit NuoG] [protein_id=UXK15458.1] [location=complement(3171081..3173765)] [gbkey=CDS],0,395.975,55,35,143,35,894,97.9,5.87,2862,35,0,184606830.1,115173266.5,136973874.8,152896204.4,176959317.8,210693103.3,High,High,High,High,High,High,1,,nuoG ,N6Q85_15295 ,NADH-quinone oxidoreductase subunit NuoG 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16794.1_718,[gene=lpdA] [locus_tag=N6Q85_03765] [protein=dihydrolipoyl dehydrogenase] [protein_id=UXK16794.1] [location=775267..776700] [gbkey=CDS],0,394.066,63,27,282,27,477,51,6.32,4951,27,0,330102894.1,207587894.5,224367996.8,285425123.6,346493990.3,362755736.8,High,High,High,High,High,High,1,,lpdA ,N6Q85_03765 ,dihydrolipoyl dehydrogenase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15957.1_3528,[gene=atpA] [locus_tag=N6Q85_18085] [protein=F0F1 ATP synthase subunit alpha] [protein_id=UXK15957.1] [location=complement(3767481..3769025)] [gbkey=CDS],0,390.452,60,35,255,35,514,55.4,5.43,4682,35,0,716636918,431212388,535176617,583170740.1,819109892.1,699194149.5,High,High,High,High,High,High,1,,atpA,N6Q85_18085 ,F0F1 ATP synthase subunit alpha 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK17934.1_3345,[gene=pnp] [locus_tag=N6Q85_17105] [protein=polyribonucleotide nucleotidyltransferase] [protein_id=UXK17934.1] [location=complement(3559473..3561560)] [gbkey=CDS],0,390.109,52,31,160,31,695,75,5.19,3123,31,0,176535809,118777885.9,132008665.2,142686759,188739289.2,185554727.7,High,High,High,High,High,High,1,,pnp,N6Q85_17105 ,polyribonucleotide nucleotidyltransferase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15833.1_3396,[gene=fadB] [locus_tag=N6Q85_17375] [protein=fatty acid oxidation complex subunit alpha FadB] [protein_id=UXK15833.1] [location=3622795..3624948] [gbkey=CDS],0,389.842,58,37,130,37,717,77.8,6.15,2410,37,0,171900862.5,126699324.6,121567294.3,202313557.6,178643769.9,255732465.2,High,High,High,High,High,High,1,,fadB,N6Q85_17375 ,fatty acid oxidation complex subunit alpha FadB 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15979.1_3550,[gene=guaA] [locus_tag=N6Q85_18195] [protein=glutamine-hydrolyzing GMP synthase] [protein_id=UXK15979.1] [location=complement(3786642..3788210)] [gbkey=CDS],0,388.608,71,36,164,36,522,57.9,5.44,2889,36,0,149967636.2,96446203.33,117898698.4,122703420,148514498.1,162833679.6,High,High,High,High,High,High,1,,guaA,N6Q85_18195 ,glutamine-hydrolyzing GMP synthase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK14670.1_2160,[gene=katE] [locus_tag=N6Q85_11055] [protein=catalase HPII] [protein_id=UXK14670.1] [location=complement(2325451..2327595)] [gbkey=CDS],0,386.597,56,38,199,38,714,80.1,6.06,3369,38,0,232623959.7,245576903,89450127.6,182530829.2,179264508.8,375010309.8,High,High,High,High,High,High,1,,katE,N6Q85_11055 ,catalase HPII 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK17831.1_682,[gene=adeK] [locus_tag=N6Q85_03585] [protein=multidrug efflux RND transporter outer membrane channel subunit AdeK] [protein_id=UXK17831.1] [location=complement(737126..738580)] [gbkey=CDS],0,382.176,82,32,128,30,484,52.8,9,2449,32,2,132169300.1,84414310.73,91642971.29,120788963.4,126454864.8,145273167.8,High,High,High,High,High,High,1,,adeK,N6Q85_03585 ,multidrug efflux RND transporter outer membrane channel subunit AdeK 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16185.1_81,[gene=glmS] [locus_tag=N6Q85_00430] [protein=glutamine--fructose-6-phosphate transaminase (isomerizing)] [protein_id=UXK16185.1] [location=complement(93017..94855)] [gbkey=CDS],0,378.76,65,33,141,33,612,67.5,5.47,2659,33,0,174206802.2,116692534,115123042,121194535.7,150383767.4,166349183.1,High,High,High,High,High,High,1,,glmS,N6Q85_00430 ,glutamine--fructose-6-phosphate transaminase (isomerizing) 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15670.1_3225,[locus_tag=N6Q85_16495] [protein=fumarate hydratase] [protein_id=UXK15670.1] [location=3434898..3436424] [gbkey=CDS],0,370.492,76,32,126,32,508,54.9,5.68,2452,32,0,124385719,76907235.79,86198033.41,97907014.81,136053426.2,126363579,High,High,High,High,High,High,1,,_16495 ,N6Q85_16495 ,fumarate hydratase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16109.1_4,[gene=gyrB] [locus_tag=N6Q85_00020] [protein=DNA topoisomerase (ATP-hydrolyzing) subunit B] [protein_id=UXK16109.1] [location=3794..6262] [gbkey=CDS],0,367.383,65,42,131,42,822,92.1,5.67,2230,42,0,105472786.4,64090751.06,68547754.93,82685822.18,104469271.9,99440600.6,High,High,High,High,High,High,1,,gyrB,N6Q85_00020 ,DNA topoisomerase (ATP-hydrolyzing) subunit B 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16795.1_719,[gene=sucC] [locus_tag=N6Q85_03770] [protein=ADP-forming succinate--CoA ligase subunit beta] [protein_id=UXK16795.1] [location=776848..778014] [gbkey=CDS],0,366.714,75,24,207,24,388,41.5,4.93,4540,24,0,469124330.4,298286510.2,326905365.2,356274543.2,443738621.4,440349325.3,High,High,High,High,High,High,1,,sucC,N6Q85_03770 ,ADP-forming succinate--CoA ligase subunit beta 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK17099.1_1040,[gene=glnA] [locus_tag=N6Q85_05405] [protein=type I glutamate--ammonia ligase] [protein_id=UXK17099.1] [location=1170792..1172207] [gbkey=CDS],0,365.62,67,25,138,25,471,52.4,5.3,2729,25,0,226408753.5,162919079.5,176691143.8,185243644.7,219515329,320186609.1,High,High,High,High,High,High,1,,glnA ,N6Q85_05405 ,type I glutamate--ammonia ligase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15971.1_3542,[gene=argS] [locus_tag=N6Q85_18155] [protein=arginine--tRNA ligase] [protein_id=UXK15971.1] [location=3779774..3781564] [gbkey=CDS],0,365.315,62,36,104,36,596,66.2,5.6,2310,36,0,102510691.2,63331516.4,72645176.16,82300084.12,96546694.41,100815716.9,High,High,High,High,High,High,1,,argS ,N6Q85_18155 ,arginine--tRNA ligase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK14539.1_2025,[locus_tag=N6Q85_10375] [protein=OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66] [protein_id=UXK14539.1] [location=2188505..2189329] [gbkey=CDS],0,359.44,65,23,249,23,274,30.5,9.04,4975,23,0,64813985.53,37524278.71,1004791795,1528569844,1688734694,1750983936,High,High,High,High,High,High,1,,OXA-Ab,N6Q85_10375 ,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15569.1_3120,[gene=thrS] [locus_tag=N6Q85_15970] [protein=threonine--tRNA ligase] [protein_id=UXK15569.1] [location=complement(3320425..3322347)] [gbkey=CDS],0,359.42,52,39,154,39,640,73.1,5.8,2443,39,0,212071436.6,127346509.3,151521700.2,179645886,215395661.8,223518097.1,High,High,High,High,High,High,1,,thrS ,N6Q85_15970 ,threonine--tRNA ligase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16781.1_703,[gene=rpoD] [locus_tag=N6Q85_03690] [protein=RNA polymerase sigma factor RpoD] [protein_id=UXK16781.1] [location=complement(758991..760877)] [gbkey=CDS],0,359.102,56,31,132,31,628,71.6,4.82,2002,31,0,137117763.3,84863229.63,91865687.16,114282798.6,131939337.3,135789083.4,High,High,High,High,High,High,1,,rpoD ,N6Q85_03690 ,RNA polymerase sigma factor RpoD 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK17522.1_1495,[gene=bamA] [locus_tag=N6Q85_07720] [protein=outer membrane protein assembly factor BamA] [protein_id=UXK17522.1] [location=1628894..1631476] [gbkey=CDS],0,357.176,47,39,113,39,860,96,5.5,1600,39,0,100550627.4,67473620.24,69539140.73,86141357.72,99353414.55,114139884.9,High,High,High,High,High,High,1,,bamA ,N6Q85_07720 ,outer membrane protein assembly factor BamA 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16983.1_915,[locus_tag=N6Q85_04775] [protein=insulinase family protein] [protein_id=UXK16983.1] [location=1016665..1019427] [gbkey=CDS],0,354.108,55,53,104,53,920,104,6.96,1394,53,0,106845631.8,63118511.27,66053947.01,73136785.13,101715751.4,76099809.29,High,High,High,High,High,High,1,,_04775 ,N6Q85_04775 ,insulinase family protein 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16787.1_709,[gene=gltA] [locus_tag=N6Q85_03720] [protein=citrate synthase] [protein_id=UXK16787.1] [location=complement(765029..766303)] [gbkey=CDS],0,353.796,71,25,201,25,424,47.4,6.58,4935,25,0,304877139.5,210497455.8,234459482.7,277371658.9,274568360.8,393726703.5,High,High,High,High,High,High,1,,gltA ,N6Q85_03720 ,citrate synthase 
